ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
12,"Armenia, Rep. of",AM,ARM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.281,-0.931,0.488,0.701,0.495,0.785,1.388,1.538,1.077,1.449,1.215,0.197,1.149,0.509,1.632,0.746,0.873,0.689,2.705,0.673,1.319,1.413,1.246,1.876,1.344,0.865,2.738,1.78,1.89,2.208,1.866,2.246,2.364
13,"Aruba, Kingdom of the Netherlands",AW,ABW,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.343,-0.046,-0.132,0.122,-0.33,0.212,-0.351,-0.139,0.502,0.293,-0.216,0.069,0.299,-0.427,-0.136,,,0.595,,0.682,0.438,0.387,0.719,,0.006,0.045,0.873,0.557,0.041,0.391,0.559,0.58,,0.413,0.691,0.871,0.559,1.235,0.342,-0.044,0.576,0.751,0.929,0.48,0.64,0.651,1.066,0.411,0.877,1.429,0.555,0.79,1.252,1.049,1.897,1.318,1.359,0.86,1.193,1.538,,,,
14,Asia,,ASIATMP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.053,-0.011,0.282,-0.168,-0.024,0.331,-0.309,-0.337,-0.013,0.072,-0.127,-0.171,0.235,-0.14,0.007,-0.341,0.085,0.144,0.443,0.267,0.199,0.108,-0.017,-0.131,0.008,0.049,0.401,0.424,0.26,0.522,0.397,-0.063,0.074,0.529,0.622,0.174,0.611,1.045,1.092,0.683,1.018,1.17,0.658,1.102,0.873,1.117,1.194,0.882,1.084,1.266,0.714,0.717,1.075,0.934,1.307,1.476,1.482,1.36,1.399,1.539,1.561,1.736,1.79,2.063
15,Australia,AU,AUS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.152,0.132,-0.091,-0.014,0.128,-0.255,-0.096,-0.215,0.107,0,-0.034,0.089,0.834,-0.354,0.05,-0.516,0.176,0.078,0.363,0.871,0.472,0.166,0.609,-0.187,0.306,0.347,0.329,0.924,0.116,0.517,0.781,0.238,0.432,0.171,0.351,0.545,0.32,1.028,0.512,0.085,0.281,0.664,0.77,0.649,1.12,0.629,0.842,0.541,0.949,0.605,0.14,0.239,1.429,1.124,1.02,1.105,1.072,1.059,1.36,1.353,0.551,0.678,0.877,1.446
16,Austria,AT,AUT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",1.031,-0.626,-0.729,-0.366,-0.882,0.606,0.682,0.217,-0.12,-0.547,-0.065,0.096,-0.04,0.305,0.853,0.21,0.494,-0.477,-0.117,-0.273,0.272,0.382,1.06,-0.25,-0.572,0.313,-0.27,0.817,1.103,1.261,0.121,1.243,0.522,1.953,0.936,-0.205,0.509,1.341,0.979,1.764,1.499,1.53,1.462,0.826,0.624,0.904,2.137,1.587,1.548,0.665,1.379,1.787,1.101,2.417,2.179,2.109,1.754,2.539,2.382,2.326,1.415,2.554,2.612,3.267
17,"Azerbaijan, Rep. of",AZ,AZE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.812,-0.99,0.115,1.022,0.259,0.622,1.21,1.241,1.08,1.419,1.479,-0.053,1.372,0.888,1.558,1.016,0.921,0.814,2.365,0.796,1.5,1.6,1.247,1.661,1.452,1.283,2.242,1.978,2.006,2.107,2.234,2.297,2.246
18,"Bahamas, The",BS,BHS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.01,-0.152,-0.173,0.092,-0.003,-0.193,-0.172,-0.312,-0.128,-0.505,0.044,0.494,0.339,0.118,0.502,-0.21,0.115,0.172,0.231,0.339,-0.201,0.447,0.137,0.021,0.252,0.241,0.37,0.277,0.671,0.761,0.759,0.218,0.319,0.74,0.663,0.01,0.745,0.913,0.545,0.145,0.094,0.862,0.986,0.325,0.27,0.077,0.754,0.835,0.367,0.229,0.389,0.339,0.54,0.863,1.108,1.035,1.379,1.011,1.434,1.606,0.765,1.384,1.756,1.513
19,"Bahrain, Kingdom of",BH,BHR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.484,0.369,0.616,-0.572,0.224,0.516,-0.381,-0.464,0.553,0.253,-0.23,-0.596,-0.252,-0.23,-0.186,-0.466,0.371,0.142,0.905,0.404,0.461,-0.109,-0.871,0.007,0.355,0.647,0.518,0.597,0.007,0.41,-0.277,-0.601,0.065,0.931,0.179,0.617,0.294,1.349,1.992,1.123,1.22,1.581,1.26,1.387,1.069,1.819,1.03,1.289,1.174,2.217,1.362,1.315,1.44,1.842,2.392,1.671,2.138,2.304,2.154,2.007,2.442,1.996,2.29,2.469
20,Bangladesh,BD,BGD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.126,-0.31,-0.12,0.1,-0.198,0.312,-0.211,-0.224,0.018,-0.023,-0.594,-0.042,0.155,-0.146,-0.076,-0.081,-0.242,-0.203,0.504,0.149,-0.134,0.014,-0.041,-0.214,0.161,0.109,0.419,0.436,0.205,-0.025,0.084,-0.011,-0.313,0.327,0.313,0.204,0.022,0.611,0.907,0.361,0.466,0.547,0.442,0.45,0.845,1.032,0.451,0.229,1.066,1.054,0.382,0.541,0.516,0.759,0.905,1.476,1.288,1.065,1.312,1.109,1.498,1.406,1.809,1.638
21,Barbados,BB,BRB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.245,0.138,0.264,0.073,-0.176,-0.025,-0.107,-0.197,0.495,0.28,-0.273,-0.097,-0.052,-0.393,-0.593,-0.449,-0.056,0.248,0.051,0.535,0.337,0.206,0.332,-0.009,-0.189,-0.09,0.629,0.487,0.299,0.466,0.535,0.455,0.532,0.535,0.665,0.541,0.486,1.324,0.719,0.576,0.786,0.683,0.965,0.776,1.219,0.961,0.818,0.473,0.607,1.343,0.913,0.785,1.077,0.736,1.204,1.51,1.163,0.892,1.371,1.225,1.258,1.065,,
22,"Belarus, Rep. of",BY,BLR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284,0.033,1.147,1.507,-0.265,0.369,0.717,1.518,1.949,1.986,1.901,0.098,0.947,1.292,0.665,2.379,2.269,1.613,1.461,1.027,1.573,1.217,2.183,2.252,2.212,1.605,2.35,2.683,3.522,1.709,1.911,2.721,3.55
23,Belgium,BE,BEL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.494,1.347,1.41,1.535,1.098,1.208,1.417,1.896,1.265,1.161,0.238,1.294,1.143,0.479,2.426,1.379,1.892,1.723,2.173,2.056,2.544,1.174,2.773,2.408,2.583
24,Belize,BZ,BLZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.005,-0.176,-0.109,-0.118,-0.152,-0.254,-0.369,-0.258,0.23,-0.211,-0.218,0.531,0.446,0.141,0.144,-0.394,0.119,0.002,0.549,0.65,0.161,0.778,0.938,0.455,0.642,0.329,0.574,0.636,0.363,0.525,0.656,0.525,0.64,0.955,0.955,0.422,1.082,1.103,0.452,0.137,0.403,0.711,0.944,0.698,0.828,0.637,0.839,0.567,0.907,0.822,0.699,0.62,0.76,0.757,1.251,1.344,1.242,0.767,1.472,1.616,1.23,1.021,1.827,1.754
25,Benin,BJ,BEN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.173,-0.284,0.094,-0.259,-0.112,-0.018,-0.257,-0.1,0.35,0.355,-0.14,0.135,0.621,0.048,-0.26,-0.182,0.379,-0.01,0.556,0.475,0.26,0.305,0.632,0.64,0.501,0.398,1.069,0.721,0.037,0.675,0.394,0.067,0.606,0.514,0.491,0.826,0.645,1.144,0.694,0.523,0.595,0.784,1.041,0.821,1.23,1.128,0.889,0.727,1.039,1.323,1.045,0.69,0.961,1.05,1.196,1.145,1.264,1.153,1.228,1.14,1.635,1.004,1.488,1.553
26,Bhutan,BT,BTN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.176,-0.361,-0.277,0.05,-0.577,0.134,-0.379,-0.465,0.135,-0.05,-0.253,-0.075,0.292,0.132,0.097,-0.048,-0.045,-0.24,0.384,0.061,0.205,-0.098,-0.227,0.035,0.276,-0.04,0.237,0.564,0.252,-0.082,0.019,-0.255,-0.311,0.238,0.404,0.216,-0.374,0.747,0.95,0.128,0.636,0.436,0.483,0.458,0.758,0.986,0.987,0.555,1.421,1.253,0.551,0.473,0.799,0.87,0.99,1.319,1.31,1.252,1.159,1.076,1.681,1.481,1.788,1.765
27,Bolivia,BO,BOL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.223,-0.054,0.357,-0.128,0.245,-0.104,0.3,-0.077,0.592,0.264,-0.493,0.152,0.162,-0.161,-0.072,-0.183,0.347,0.398,0.295,0.264,0.225,0.308,0.458,0.28,0.368,0.475,0.69,0.389,0.154,0.214,0.582,0.128,0.429,0.906,0.785,0.348,0.911,1.01,0.367,0.427,0.692,1.028,0.674,0.873,0.825,0.956,0.571,0.449,0.71,0.761,1.208,0.901,0.616,1.058,1.51,0.864,1.056,0.606,0.945,1.335,0.774,0.696,2.191,2.272
28,Bosnia and Herzegovina,BA,BIH,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682,0.276,1.707,0.298,-0.029,0.126,1.083,0.636,1.549,1.553,1.158,1.114,0.604,0.147,0.623,1.894,1.41,1.421,0.998,1.167,1.805,1.372,1.88,1.864,1.724,1.462,2.319,2.033,1.92,1.648,2.179,2.562,3.436
29,Botswana,BW,BWA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.088,0.206,-0.505,-0.067,0.09,0.437,-0.442,-0.17,0.215,0.623,-0.107,-0.452,0.617,-0.736,-0.229,-0.706,0.306,-0.043,0.558,-0.012,-0.394,0.331,1.01,0.491,0.345,0.362,1.209,0.212,-0.261,0.926,0.163,1.032,0.737,0.061,1.476,0.035,0.288,1.237,0.923,-0.338,0.216,0.8,1.197,0.337,1.488,-0.194,0.667,0.576,0.086,1.389,0.317,0.823,1.12,0.239,1.873,1.862,0.358,1.087,1.918,0.834,0.106,0.401,1.288,1.841
